application_type,case_received_date,decision_date,case_status,class_of_admission,employer_name,employer_city,employer_state,employer_country,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education,foreign_worker_info_state,job_info_work_city,job_info_work_state
ONLINE,11-12-2014,02-07-2015,Certified,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,DULUTH,Bachelor's,GEORGIA,College Station,TEXAS
ONLINE,04-02-2015,28-08-2015,Certified,H-1B,GOOGLE INC.,MOUNTAIN VIEW,CALIFORNIA,UNITED STATES OF AMERICA,INDIA,SAN CARLOS,Master's,CALIFORNIA,Mountain View,CALIFORNIA
ONLINE,07-01-2015,05-08-2015,Certified,H-1B,MERKLE INC.,COLUMBIA,MARYLAND,UNITED STATES OF AMERICA,INDIA,ELKRIDGE,Master's,MARYLAND,Columbia,MARYLAND
ONLINE,18-12-2014,24-07-2015,Certified,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,GREENWOOD VILLAGE,Master's,COLORADO,College Station,TEXAS
ONLINE,04-03-2015,18-09-2015,Certified,H-1B,ISHA LLC,Stoneham,MASSACHUSETTS,UNITED STATES OF AMERICA,INDIA,BURLINGTON,Associate's,MASSACHUSETTS,Stoneham,MASSACHUSETTS
ONLINE,25-03-2015,21-09-2015,Certified,H-1B,"AUTOLIV ASP, INC.",AUBURN HILLS,MICHIGAN,UNITED STATES OF AMERICA,INDIA,NOVI,Bachelor's,MICHIGAN,Southfield,MICHIGAN
ONLINE,26-02-2015,04-09-2015,Certified,H-1B,LENDINGCLUB CORPORATION,SAN FRANCISCO,CALIFORNIA,UNITED STATES OF AMERICA,INDIA,SAN JOSE,Bachelor's,CALIFORNIA,San Francisco,CALIFORNIA
ONLINE,27-02-2015,28-08-2015,Certified,H-1B,EGENCIA LLC,BELLEVUE,WASHINGTON,UNITED STATES OF AMERICA,INDIA,BELLEVUE,Bachelor's,WASHINGTON,Bellevue,WASHINGTON
ONLINE,04-02-2015,08-09-2015,Certified,H-1B,"RANDSTAD TECHNOLOGIES, LP",WOBURN,MASSACHUSETTS,UNITED STATES OF AMERICA,INDIA,CHARLOTTE,Bachelor's,NORTH CAROLINA,Woburn,MASSACHUSETTS
ONLINE,05-02-2015,09-09-2015,Certified,E-2,TELARIX,VIENNA,VIRGINIA,UNITED STATES OF AMERICA,FRANCE,LONG ISLAND CITY,Master's,NEW YORK,New York,NEW YORK
ONLINE,25-02-2015,14-09-2015,Certified,,MUY PIZZA TEJAS LLC,SAN ANTONIO,TEXAS,UNITED STATES OF AMERICA,SOUTH KOREA,SEOUL,High School,,SAN ANTONIO,TEXAS
ONLINE,09-02-2015,27-08-2015,Certified,H-1B,"BRLI NO 2 ACQUISITION CORP (DBA GENEDX, INC)",GAITHERSBURG,MARYLAND,UNITED STATES OF AMERICA,JORDAN,GAITHERSBURG,Doctorate,MARYLAND,Gaithersburg,MARYLAND
ONLINE,08-01-2015,03-08-2015,Certified,H-1B,ORASYS LLC,WESTBOROUGH,MASSACHUSETTS,UNITED STATES OF AMERICA,INDIA,HENRICO,Master's,VIRGINIA,WESTBOROUGH,MASSACHUSETTS
ONLINE,13-01-2015,10-08-2015,Certified,H-1B,DELOITTE CONSULTING LLP,PHILADELPHIA,PENNSYLVANIA,UNITED STATES OF AMERICA,INDIA,SUNNYVALE,Bachelor's,CALIFORNIA,San Francisco,CALIFORNIA
ONLINE,12-02-2015,01-09-2015,Certified,H-1B,"ASAP SOLUTIONS GROUP, L.L.C.",NORCROSS,GEORGIA,UNITED STATES OF AMERICA,INDIA,FORT WORTH,Master's,TEXAS,Norcross,GEORGIA
